0.000 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=1.968, NAV_HEADING=89.985, NAV_PITCH=0.018, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-0.006, NAV_Y=0.000, NAV_YAW=-1.571, NAV_Z=-1.968}
24.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=321.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.434, NAV_HEADING=130.957, NAV_PITCH=0.023, NAV_ROLL=-0.000, NAV_SPEED=0.289, NAV_VX=0.279, NAV_VY=0.073, NAV_X=4.555, NAV_Y=-1.458, NAV_YAW=-2.286, NAV_Z=-2.434}
26.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=320.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.524, NAV_HEADING=131.535, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.290, NAV_VX=0.281, NAV_VY=0.071, NAV_X=5.073, NAV_Y=-1.720, NAV_YAW=-2.296, NAV_Z=-2.524}
28.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=319.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.615, NAV_HEADING=131.913, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.291, NAV_VX=0.283, NAV_VY=0.068, NAV_X=5.588, NAV_Y=-1.993, NAV_YAW=-2.302, NAV_Z=-2.615}
30.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=319.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.709, NAV_HEADING=132.273, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.284, NAV_VY=0.066, NAV_X=6.100, NAV_Y=-2.276, NAV_YAW=-2.309, NAV_Z=-2.709}
32.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=318.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.804, NAV_HEADING=132.555, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.285, NAV_VY=0.063, NAV_X=6.609, NAV_Y=-2.566, NAV_YAW=-2.314, NAV_Z=-2.804}
34.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=318.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.900, NAV_HEADING=133.184, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.285, NAV_VY=0.062, NAV_X=7.114, NAV_Y=-2.864, NAV_YAW=-2.324, NAV_Z=-2.900}
36.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=317.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.997, NAV_HEADING=133.825, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.285, NAV_VY=0.062, NAV_X=7.614, NAV_Y=-3.168, NAV_YAW=-2.336, NAV_Z=-2.997}
38.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=316.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.095, NAV_HEADING=134.463, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.285, NAV_VY=0.061, NAV_X=8.111, NAV_Y=-3.478, NAV_YAW=-2.347, NAV_Z=-3.095}
40.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=316.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.193, NAV_HEADING=135.062, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.285, NAV_VY=0.061, NAV_X=8.604, NAV_Y=-3.795, NAV_YAW=-2.357, NAV_Z=-3.193}
42.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=315.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.292, NAV_HEADING=135.642, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.286, NAV_VY=0.060, NAV_X=9.093, NAV_Y=-4.118, NAV_YAW=-2.367, NAV_Z=-3.292}
