0.000 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=1.968, NAV_HEADING=89.985, NAV_PITCH=0.018, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-0.006, NAV_Y=0.000, NAV_YAW=-1.571, NAV_Z=-1.968}
84.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.447, NAV_HEADING=189.553, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.296, NAV_VX=0.281, NAV_VY=0.093, NAV_X=16.230, NAV_Y=-13.728, NAV_YAW=2.975, NAV_Z=-5.447}
86.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.548, NAV_HEADING=190.586, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.296, NAV_VX=0.282, NAV_VY=0.090, NAV_X=16.311, NAV_Y=-14.317, NAV_YAW=2.957, NAV_Z=-5.548}
88.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=260.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.649, NAV_HEADING=191.272, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.296, NAV_VX=0.283, NAV_VY=0.086, NAV_X=16.376, NAV_Y=-14.907, NAV_YAW=2.945, NAV_Z=-5.649}
90.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=260.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.750, NAV_HEADING=191.682, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.295, NAV_VX=0.284, NAV_VY=0.081, NAV_X=16.427, NAV_Y=-15.498, NAV_YAW=2.938, NAV_Z=-5.750}
92.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=259.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.851, NAV_HEADING=191.809, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.295, NAV_VX=0.285, NAV_VY=0.076, NAV_X=16.464, NAV_Y=-16.089, NAV_YAW=2.935, NAV_Z=-5.851}
94.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=259.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.951, NAV_HEADING=192.189, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.294, NAV_VX=0.285, NAV_VY=0.072, NAV_X=16.490, NAV_Y=-16.680, NAV_YAW=2.929, NAV_Z=-5.951}
96.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=259.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.050, NAV_HEADING=192.383, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.294, NAV_VX=0.285, NAV_VY=0.069, NAV_X=16.506, NAV_Y=-17.270, NAV_YAW=2.925, NAV_Z=-6.050}
98.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=259.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.150, NAV_HEADING=192.436, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.293, NAV_VX=0.286, NAV_VY=0.065, NAV_X=16.512, NAV_Y=-17.859, NAV_YAW=2.925, NAV_Z=-6.150}
100.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=259.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.250, NAV_HEADING=192.408, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.293, NAV_VX=0.286, NAV_VY=0.061, NAV_X=16.511, NAV_Y=-18.448, NAV_YAW=2.925, NAV_Z=-6.250}
102.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=259.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.349, NAV_HEADING=192.348, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.292, NAV_VX=0.287, NAV_VY=0.057, NAV_X=16.502, NAV_Y=-19.035, NAV_YAW=2.926, NAV_Z=-6.349}
104.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=259.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.449, NAV_HEADING=192.279, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.292, NAV_VX=0.287, NAV_VY=0.054, NAV_X=16.487, NAV_Y=-19.622, NAV_YAW=2.927, NAV_Z=-6.449}
106.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=259.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.548, NAV_HEADING=192.221, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.291, NAV_VX=0.287, NAV_VY=0.051, NAV_X=16.466, NAV_Y=-20.207, NAV_YAW=2.928, NAV_Z=-6.548}
108.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=260.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.647, NAV_HEADING=191.976, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.291, NAV_VX=0.287, NAV_VY=0.047, NAV_X=16.441, NAV_Y=-20.792, NAV_YAW=2.933, NAV_Z=-6.647}
110.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=260.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.746, NAV_HEADING=191.588, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.291, NAV_VX=0.287, NAV_VY=0.043, NAV_X=16.412, NAV_Y=-21.375, NAV_YAW=2.939, NAV_Z=-6.746}
112.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=260.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.845, NAV_HEADING=191.272, NAV_PITCH=0.025, NAV_ROLL=0.000, NAV_SPEED=0.290, NAV_VX=0.288, NAV_VY=0.040, NAV_X=16.378, NAV_Y=-21.958, NAV_YAW=2.945, NAV_Z=-6.845}
114.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=260.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.944, NAV_HEADING=191.061, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.290, NAV_VX=0.288, NAV_VY=0.037, NAV_X=16.342, NAV_Y=-22.540, NAV_YAW=2.949, NAV_Z=-6.944}
116.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.043, NAV_HEADING=190.896, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.290, NAV_VX=0.288, NAV_VY=0.035, NAV_X=16.303, NAV_Y=-23.121, NAV_YAW=2.951, NAV_Z=-7.043}
118.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.142, NAV_HEADING=190.491, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.289, NAV_VX=0.288, NAV_VY=0.032, NAV_X=16.262, NAV_Y=-23.701, NAV_YAW=2.958, NAV_Z=-7.142}
120.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.240, NAV_HEADING=190.164, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.289, NAV_VX=0.288, NAV_VY=0.030, NAV_X=16.219, NAV_Y=-24.281, NAV_YAW=2.964, NAV_Z=-7.240}
122.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.339, NAV_HEADING=189.939, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.289, NAV_VX=0.288, NAV_VY=0.028, NAV_X=16.175, NAV_Y=-24.860, NAV_YAW=2.968, NAV_Z=-7.339}
124.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=262.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.438, NAV_HEADING=189.279, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.287, NAV_VY=0.024, NAV_X=16.129, NAV_Y=-25.438, NAV_YAW=2.980, NAV_Z=-7.438}
126.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=262.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.537, NAV_HEADING=188.810, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.289, NAV_VX=0.288, NAV_VY=0.021, NAV_X=16.081, NAV_Y=-26.016, NAV_YAW=2.988, NAV_Z=-7.537}
128.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=262.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.635, NAV_HEADING=188.561, NAV_PITCH=0.025, NAV_ROLL=0.000, NAV_SPEED=0.289, NAV_VX=0.288, NAV_VY=0.019, NAV_X=16.033, NAV_Y=-26.594, NAV_YAW=2.992, NAV_Z=-7.635}
130.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=263.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.734, NAV_HEADING=188.092, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.016, NAV_X=15.985, NAV_Y=-27.171, NAV_YAW=3.000, NAV_Z=-7.734}
132.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=264.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.833, NAV_HEADING=187.542, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.014, NAV_X=15.936, NAV_Y=-27.748, NAV_YAW=3.010, NAV_Z=-7.833}
134.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.931, NAV_HEADING=186.848, NAV_PITCH=0.026, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.010, NAV_X=15.886, NAV_Y=-28.325, NAV_YAW=3.022, NAV_Z=-7.931}
136.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.030, NAV_HEADING=185.709, NAV_PITCH=0.027, NAV_ROLL=-0.001, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.004, NAV_X=15.836, NAV_Y=-28.901, NAV_YAW=3.042, NAV_Z=-8.030}
138.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.128, NAV_HEADING=184.949, NAV_PITCH=0.026, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.000, NAV_X=15.786, NAV_Y=-29.477, NAV_YAW=3.055, NAV_Z=-8.128}
140.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.226, NAV_HEADING=184.392, NAV_PITCH=0.026, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=-0.003, NAV_X=15.737, NAV_Y=-30.054, NAV_YAW=3.065, NAV_Z=-8.226}
142.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.325, NAV_HEADING=184.162, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=-0.004, NAV_X=15.687, NAV_Y=-30.630, NAV_YAW=3.069, NAV_Z=-8.325}
144.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.423, NAV_HEADING=184.077, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=-0.004, NAV_X=15.637, NAV_Y=-31.206, NAV_YAW=3.070, NAV_Z=-8.423}
146.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.522, NAV_HEADING=184.078, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=-0.004, NAV_X=15.588, NAV_Y=-31.782, NAV_YAW=3.070, NAV_Z=-8.522}
148.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.620, NAV_HEADING=184.096, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=-0.004, NAV_X=15.538, NAV_Y=-32.358, NAV_YAW=3.070, NAV_Z=-8.620}
150.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.719, NAV_HEADING=184.122, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=-0.004, NAV_X=15.489, NAV_Y=-32.933, NAV_YAW=3.070, NAV_Z=-8.719}
152.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.818, NAV_HEADING=184.158, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=-0.004, NAV_X=15.439, NAV_Y=-33.509, NAV_YAW=3.069, NAV_Z=-8.818}
154.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.918, NAV_HEADING=184.142, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=-0.004, NAV_X=15.390, NAV_Y=-34.085, NAV_YAW=3.069, NAV_Z=-8.918}
156.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.017, NAV_HEADING=184.163, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=-0.004, NAV_X=15.340, NAV_Y=-34.661, NAV_YAW=3.069, NAV_Z=-9.017}
158.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=266.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.116, NAV_HEADING=184.179, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=-0.004, NAV_X=15.291, NAV_Y=-35.236, NAV_YAW=3.069, NAV_Z=-9.116}
160.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=267.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.216, NAV_HEADING=184.182, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=-0.004, NAV_X=15.242, NAV_Y=-35.812, NAV_YAW=3.069, NAV_Z=-9.216}
162.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=336.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.314, NAV_HEADING=177.871, NAV_PITCH=0.025, NAV_ROLL=-0.002, NAV_SPEED=0.296, NAV_VX=0.294, NAV_VY=-0.032, NAV_X=15.191, NAV_Y=-36.397, NAV_YAW=-3.104, NAV_Z=-9.314}
164.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=339.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.410, NAV_HEADING=156.147, NAV_PITCH=0.052, NAV_ROLL=-0.014, NAV_SPEED=0.292, NAV_VX=0.257, NAV_VY=-0.137, NAV_X=15.142, NAV_Y=-36.984, NAV_YAW=-2.725, NAV_Z=-9.410}
166.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=343.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.500, NAV_HEADING=135.410, NAV_PITCH=0.076, NAV_ROLL=-0.022, NAV_SPEED=0.302, NAV_VX=0.225, NAV_VY=-0.201, NAV_X=15.131, NAV_Y=-37.584, NAV_YAW=-2.363, NAV_Z=-9.500}
168.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=347.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.581, NAV_HEADING=119.812, NAV_PITCH=0.072, NAV_ROLL=-0.015, NAV_SPEED=0.303, NAV_VX=0.209, NAV_VY=-0.220, NAV_X=15.219, NAV_Y=-38.190, NAV_YAW=-2.091, NAV_Z=-9.581}
170.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=351.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.656, NAV_HEADING=108.366, NAV_PITCH=0.060, NAV_ROLL=-0.007, NAV_SPEED=0.298, NAV_VX=0.207, NAV_VY=-0.215, NAV_X=15.426, NAV_Y=-38.759, NAV_YAW=-1.891, NAV_Z=-9.656}
172.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=356.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.730, NAV_HEADING=99.856, NAV_PITCH=0.050, NAV_ROLL=-0.003, NAV_SPEED=0.295, NAV_VX=0.214, NAV_VY=-0.203, NAV_X=15.738, NAV_Y=-39.266, NAV_YAW=-1.743, NAV_Z=-9.730}
174.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=359.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.803, NAV_HEADING=92.806, NAV_PITCH=0.045, NAV_ROLL=-0.003, NAV_SPEED=0.295, NAV_VX=0.223, NAV_VY=-0.192, NAV_X=16.133, NAV_Y=-39.705, NAV_YAW=-1.620, NAV_Z=-9.803}
176.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=0.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.879, NAV_HEADING=88.686, NAV_PITCH=0.038, NAV_ROLL=-0.001, NAV_SPEED=0.297, NAV_VX=0.239, NAV_VY=-0.175, NAV_X=16.597, NAV_Y=-40.076, NAV_YAW=-1.548, NAV_Z=-9.879}
