0.000 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=1.966, NAV_HEADING=89.999, NAV_PITCH=0.017, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-0.006, NAV_Y=0.000, NAV_YAW=-1.571, NAV_Z=-1.966}
84.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.412, NAV_HEADING=185.867, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.295, NAV_VX=0.283, NAV_VY=0.083, NAV_X=15.852, NAV_Y=-14.152, NAV_YAW=3.039, NAV_Z=-5.412}
86.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=264.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.513, NAV_HEADING=186.990, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.295, NAV_VX=0.283, NAV_VY=0.082, NAV_X=15.952, NAV_Y=-14.735, NAV_YAW=3.020, NAV_Z=-5.513}
88.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=262.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.613, NAV_HEADING=188.010, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.294, NAV_VX=0.283, NAV_VY=0.081, NAV_X=16.040, NAV_Y=-15.319, NAV_YAW=3.002, NAV_Z=-5.613}
90.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=262.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.714, NAV_HEADING=189.070, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.294, NAV_VX=0.283, NAV_VY=0.080, NAV_X=16.114, NAV_Y=-15.905, NAV_YAW=2.983, NAV_Z=-5.714}
92.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.815, NAV_HEADING=189.570, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.294, NAV_VX=0.284, NAV_VY=0.076, NAV_X=16.176, NAV_Y=-16.493, NAV_YAW=2.975, NAV_Z=-5.815}
94.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=5.915, NAV_HEADING=190.195, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.294, NAV_VX=0.284, NAV_VY=0.074, NAV_X=16.226, NAV_Y=-17.081, NAV_YAW=2.964, NAV_Z=-5.915}
96.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.015, NAV_HEADING=190.494, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.293, NAV_VX=0.285, NAV_VY=0.071, NAV_X=16.265, NAV_Y=-17.669, NAV_YAW=2.958, NAV_Z=-6.015}
98.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.115, NAV_HEADING=190.519, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.293, NAV_VX=0.286, NAV_VY=0.066, NAV_X=16.294, NAV_Y=-18.257, NAV_YAW=2.958, NAV_Z=-6.115}
100.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.215, NAV_HEADING=190.440, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.293, NAV_VX=0.286, NAV_VY=0.062, NAV_X=16.315, NAV_Y=-18.845, NAV_YAW=2.959, NAV_Z=-6.215}
102.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=260.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.315, NAV_HEADING=190.535, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.293, NAV_VX=0.287, NAV_VY=0.059, NAV_X=16.328, NAV_Y=-19.433, NAV_YAW=2.958, NAV_Z=-6.315}
104.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=260.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.414, NAV_HEADING=190.753, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.286, NAV_VY=0.056, NAV_X=16.335, NAV_Y=-20.020, NAV_YAW=2.954, NAV_Z=-6.414}
106.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=260.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.514, NAV_HEADING=190.888, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.287, NAV_VY=0.054, NAV_X=16.336, NAV_Y=-20.606, NAV_YAW=2.952, NAV_Z=-6.514}
108.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=260.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.613, NAV_HEADING=190.950, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.291, NAV_VX=0.287, NAV_VY=0.052, NAV_X=16.331, NAV_Y=-21.192, NAV_YAW=2.950, NAV_Z=-6.613}
110.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=260.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.713, NAV_HEADING=190.993, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.291, NAV_VX=0.287, NAV_VY=0.050, NAV_X=16.321, NAV_Y=-21.776, NAV_YAW=2.950, NAV_Z=-6.713}
112.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.812, NAV_HEADING=190.864, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.291, NAV_VX=0.287, NAV_VY=0.047, NAV_X=16.306, NAV_Y=-22.361, NAV_YAW=2.952, NAV_Z=-6.812}
114.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=6.911, NAV_HEADING=190.526, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.291, NAV_VX=0.287, NAV_VY=0.043, NAV_X=16.287, NAV_Y=-22.944, NAV_YAW=2.958, NAV_Z=-6.911}
116.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.010, NAV_HEADING=190.251, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.290, NAV_VX=0.288, NAV_VY=0.040, NAV_X=16.264, NAV_Y=-23.527, NAV_YAW=2.963, NAV_Z=-7.010}
118.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.109, NAV_HEADING=190.036, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.290, NAV_VX=0.288, NAV_VY=0.037, NAV_X=16.238, NAV_Y=-24.110, NAV_YAW=2.966, NAV_Z=-7.109}
120.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.208, NAV_HEADING=189.868, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.290, NAV_VX=0.288, NAV_VY=0.035, NAV_X=16.210, NAV_Y=-24.691, NAV_YAW=2.969, NAV_Z=-7.208}
122.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=261.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.307, NAV_HEADING=189.771, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.290, NAV_VX=0.288, NAV_VY=0.034, NAV_X=16.179, NAV_Y=-25.272, NAV_YAW=2.971, NAV_Z=-7.307}
124.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=262.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.406, NAV_HEADING=189.496, NAV_PITCH=0.025, NAV_ROLL=0.000, NAV_SPEED=0.289, NAV_VX=0.287, NAV_VY=0.031, NAV_X=16.146, NAV_Y=-25.853, NAV_YAW=2.976, NAV_Z=-7.406}
126.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=262.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.505, NAV_HEADING=189.089, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.289, NAV_VX=0.288, NAV_VY=0.028, NAV_X=16.111, NAV_Y=-26.432, NAV_YAW=2.983, NAV_Z=-7.505}
128.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=262.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.604, NAV_HEADING=188.818, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.289, NAV_VX=0.288, NAV_VY=0.026, NAV_X=16.075, NAV_Y=-27.012, NAV_YAW=2.988, NAV_Z=-7.604}
130.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=262.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.703, NAV_HEADING=188.637, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.289, NAV_VX=0.288, NAV_VY=0.025, NAV_X=16.037, NAV_Y=-27.591, NAV_YAW=2.991, NAV_Z=-7.703}
132.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=263.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.802, NAV_HEADING=188.215, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.022, NAV_X=15.999, NAV_Y=-28.170, NAV_YAW=2.998, NAV_Z=-7.802}
134.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=264.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=7.901, NAV_HEADING=187.769, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.289, NAV_VX=0.288, NAV_VY=0.019, NAV_X=15.959, NAV_Y=-28.748, NAV_YAW=3.006, NAV_Z=-7.901}
136.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=264.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.000, NAV_HEADING=187.236, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.016, NAV_X=15.918, NAV_Y=-29.326, NAV_YAW=3.015, NAV_Z=-8.000}
138.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.098, NAV_HEADING=186.546, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.287, NAV_VY=0.013, NAV_X=15.878, NAV_Y=-29.904, NAV_YAW=3.027, NAV_Z=-8.098}
140.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.197, NAV_HEADING=185.607, NAV_PITCH=0.027, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.008, NAV_X=15.836, NAV_Y=-30.480, NAV_YAW=3.044, NAV_Z=-8.197}
142.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.295, NAV_HEADING=185.193, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.005, NAV_X=15.795, NAV_Y=-31.058, NAV_YAW=3.051, NAV_Z=-8.295}
144.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.394, NAV_HEADING=185.012, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.005, NAV_X=15.753, NAV_Y=-31.635, NAV_YAW=3.054, NAV_Z=-8.394}
146.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.492, NAV_HEADING=184.989, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.004, NAV_X=15.712, NAV_Y=-32.212, NAV_YAW=3.055, NAV_Z=-8.492}
148.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.591, NAV_HEADING=185.040, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.005, NAV_X=15.671, NAV_Y=-32.788, NAV_YAW=3.054, NAV_Z=-8.591}
150.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.690, NAV_HEADING=185.097, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.005, NAV_X=15.629, NAV_Y=-33.365, NAV_YAW=3.053, NAV_Z=-8.690}
152.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=265.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.789, NAV_HEADING=185.141, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.005, NAV_X=15.588, NAV_Y=-33.941, NAV_YAW=3.052, NAV_Z=-8.789}
154.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=264.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.888, NAV_HEADING=185.228, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.006, NAV_X=15.546, NAV_Y=-34.518, NAV_YAW=3.050, NAV_Z=-8.888}
156.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=328.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=8.988, NAV_HEADING=185.539, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.288, NAV_VX=0.288, NAV_VY=0.007, NAV_X=15.505, NAV_Y=-35.094, NAV_YAW=3.045, NAV_Z=-8.988}
158.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=332.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.085, NAV_HEADING=168.783, NAV_PITCH=0.037, NAV_ROLL=-0.007, NAV_SPEED=0.291, NAV_VX=0.280, NAV_VY=-0.079, NAV_X=15.461, NAV_Y=-35.687, NAV_YAW=-2.946, NAV_Z=-9.085}
160.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=335.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.178, NAV_HEADING=148.353, NAV_PITCH=0.071, NAV_ROLL=-0.020, NAV_SPEED=0.300, NAV_VX=0.252, NAV_VY=-0.163, NAV_X=15.425, NAV_Y=-36.280, NAV_YAW=-2.589, NAV_Z=-9.178}
162.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=339.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.263, NAV_HEADING=132.181, NAV_PITCH=0.073, NAV_ROLL=-0.017, NAV_SPEED=0.307, NAV_VX=0.231, NAV_VY=-0.202, NAV_X=15.451, NAV_Y=-36.896, NAV_YAW=-2.307, NAV_Z=-9.263}
164.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=342.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.341, NAV_HEADING=119.776, NAV_PITCH=0.063, NAV_ROLL=-0.009, NAV_SPEED=0.304, NAV_VX=0.219, NAV_VY=-0.210, NAV_X=15.575, NAV_Y=-37.499, NAV_YAW=-2.090, NAV_Z=-9.341}
166.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=346.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.417, NAV_HEADING=109.717, NAV_PITCH=0.055, NAV_ROLL=-0.005, NAV_SPEED=0.299, NAV_VX=0.218, NAV_VY=-0.206, NAV_X=15.802, NAV_Y=-38.061, NAV_YAW=-1.915, NAV_Z=-9.417}
168.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=350.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.491, NAV_HEADING=102.737, NAV_PITCH=0.047, NAV_ROLL=-0.003, NAV_SPEED=0.298, NAV_VX=0.226, NAV_VY=-0.194, NAV_X=16.122, NAV_Y=-38.568, NAV_YAW=-1.793, NAV_Z=-9.491}
170.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=353.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.567, NAV_HEADING=98.118, NAV_PITCH=0.039, NAV_ROLL=-0.001, NAV_SPEED=0.298, NAV_VX=0.239, NAV_VY=-0.178, NAV_X=16.517, NAV_Y=-39.018, NAV_YAW=-1.712, NAV_Z=-9.567}
172.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=358.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.645, NAV_HEADING=94.227, NAV_PITCH=0.036, NAV_ROLL=-0.001, NAV_SPEED=0.299, NAV_VX=0.248, NAV_VY=-0.166, NAV_X=16.969, NAV_Y=-39.412, NAV_YAW=-1.645, NAV_Z=-9.645}
174.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=359.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.726, NAV_HEADING=90.454, NAV_PITCH=0.036, NAV_ROLL=-0.002, NAV_SPEED=0.300, NAV_VX=0.255, NAV_VY=-0.158, NAV_X=17.462, NAV_Y=-39.756, NAV_YAW=-1.579, NAV_Z=-9.726}
176.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=0.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.808, NAV_HEADING=88.218, NAV_PITCH=0.033, NAV_ROLL=-0.001, NAV_SPEED=0.302, NAV_VX=0.264, NAV_VY=-0.146, NAV_X=17.989, NAV_Y=-40.052, NAV_YAW=-1.540, NAV_Z=-9.808}
178.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=1.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.893, NAV_HEADING=87.122, NAV_PITCH=0.029, NAV_ROLL=0.000, NAV_SPEED=0.302, NAV_VX=0.271, NAV_VY=-0.132, NAV_X=18.539, NAV_Y=-40.306, NAV_YAW=-1.521, NAV_Z=-9.893}
180.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=2.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=9.980, NAV_HEADING=86.423, NAV_PITCH=0.028, NAV_ROLL=-0.000, NAV_SPEED=0.300, NAV_VX=0.275, NAV_VY=-0.120, NAV_X=19.102, NAV_Y=-40.526, NAV_YAW=-1.508, NAV_Z=-9.980}
