0.000 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=1.966, NAV_HEADING=89.999, NAV_PITCH=0.017, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-0.006, NAV_Y=0.000, NAV_YAW=-1.571, NAV_Z=-1.966}
24.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=317.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.409, NAV_HEADING=134.743, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.290, NAV_VX=0.277, NAV_VY=0.086, NAV_X=4.514, NAV_Y=-1.475, NAV_YAW=-2.352, NAV_Z=-2.409}
26.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=317.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.498, NAV_HEADING=135.281, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.291, NAV_VX=0.279, NAV_VY=0.081, NAV_X=5.027, NAV_Y=-1.752, NAV_YAW=-2.361, NAV_Z=-2.498}
28.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=316.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.590, NAV_HEADING=135.377, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.292, NAV_VX=0.282, NAV_VY=0.076, NAV_X=5.535, NAV_Y=-2.043, NAV_YAW=-2.363, NAV_Z=-2.590}
30.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=316.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.684, NAV_HEADING=136.224, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.293, NAV_VX=0.283, NAV_VY=0.075, NAV_X=6.038, NAV_Y=-2.345, NAV_YAW=-2.378, NAV_Z=-2.684}
32.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=316.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.779, NAV_HEADING=136.336, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.293, NAV_VX=0.284, NAV_VY=0.070, NAV_X=6.536, NAV_Y=-2.657, NAV_YAW=-2.380, NAV_Z=-2.779}
34.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=316.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.875, NAV_HEADING=136.185, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.293, NAV_VX=0.285, NAV_VY=0.065, NAV_X=7.029, NAV_Y=-2.977, NAV_YAW=-2.377, NAV_Z=-2.875}
36.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=316.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.972, NAV_HEADING=135.946, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.293, NAV_VX=0.286, NAV_VY=0.060, NAV_X=7.517, NAV_Y=-3.305, NAV_YAW=-2.373, NAV_Z=-2.972}
38.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=316.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.069, NAV_HEADING=135.701, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.292, NAV_VX=0.287, NAV_VY=0.055, NAV_X=8.001, NAV_Y=-3.638, NAV_YAW=-2.368, NAV_Z=-3.069}
40.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=316.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.166, NAV_HEADING=135.496, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.292, NAV_VX=0.287, NAV_VY=0.052, NAV_X=8.481, NAV_Y=-3.975, NAV_YAW=-2.365, NAV_Z=-3.166}
42.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=316.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.264, NAV_HEADING=135.339, NAV_PITCH=0.025, NAV_ROLL=0.000, NAV_SPEED=0.291, NAV_VX=0.287, NAV_VY=0.048, NAV_X=8.957, NAV_Y=-4.316, NAV_YAW=-2.362, NAV_Z=-3.264}
