0.000 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=1.969, NAV_HEADING=90.005, NAV_PITCH=0.018, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-0.006, NAV_Y=0.000, NAV_YAW=-1.571, NAV_Z=-1.969}
4.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.948, NAV_HEADING=90.168, NAV_PITCH=0.036, NAV_ROLL=-0.002, NAV_SPEED=0.003, NAV_VX=0.003, NAV_VY=-0.000, NAV_X=-0.010, NAV_Y=0.001, NAV_YAW=-1.574, NAV_Z=-1.948}
6.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.941, NAV_HEADING=97.074, NAV_PITCH=0.031, NAV_ROLL=0.003, NAV_SPEED=0.031, NAV_VX=0.030, NAV_VY=0.002, NAV_X=0.025, NAV_Y=-0.001, NAV_YAW=-1.694, NAV_Z=-1.941}
8.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.949, NAV_HEADING=107.178, NAV_PITCH=0.019, NAV_ROLL=0.004, NAV_SPEED=0.056, NAV_VX=0.055, NAV_VY=0.011, NAV_X=0.114, NAV_Y=-0.008, NAV_YAW=-1.871, NAV_Z=-1.949}
10.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=1.971, NAV_HEADING=115.391, NAV_PITCH=0.015, NAV_ROLL=0.002, NAV_SPEED=0.075, NAV_VX=0.072, NAV_VY=0.019, NAV_X=0.245, NAV_Y=-0.028, NAV_YAW=-2.014, NAV_Z=-1.971}
12.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.007, NAV_HEADING=120.844, NAV_PITCH=0.020, NAV_ROLL=0.001, NAV_SPEED=0.093, NAV_VX=0.089, NAV_VY=0.026, NAV_X=0.411, NAV_Y=-0.065, NAV_YAW=-2.109, NAV_Z=-2.007}
14.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=326.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.055, NAV_HEADING=123.977, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.111, NAV_VX=0.107, NAV_VY=0.031, NAV_X=0.609, NAV_Y=-0.123, NAV_YAW=-2.164, NAV_Z=-2.055}
16.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=325.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.113, NAV_HEADING=126.109, NAV_PITCH=0.027, NAV_ROLL=0.000, NAV_SPEED=0.124, NAV_VX=0.119, NAV_VY=0.034, NAV_X=0.834, NAV_Y=-0.201, NAV_YAW=-2.201, NAV_Z=-2.113}
18.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=325.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.181, NAV_HEADING=127.285, NAV_PITCH=0.028, NAV_ROLL=-0.000, NAV_SPEED=0.135, NAV_VX=0.131, NAV_VY=0.036, NAV_X=1.078, NAV_Y=-0.296, NAV_YAW=-2.222, NAV_Z=-2.181}
20.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=325.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.255, NAV_HEADING=127.531, NAV_PITCH=0.029, NAV_ROLL=-0.000, NAV_SPEED=0.145, NAV_VX=0.140, NAV_VY=0.035, NAV_X=1.339, NAV_Y=-0.407, NAV_YAW=-2.226, NAV_Z=-2.255}
22.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=325.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=2.336, NAV_HEADING=127.412, NAV_PITCH=0.030, NAV_ROLL=-0.000, NAV_SPEED=0.151, NAV_VX=0.148, NAV_VY=0.033, NAV_X=1.612, NAV_Y=-0.530, NAV_YAW=-2.224, NAV_Z=-2.336}
