0.000 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
24.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.461, NAV_HEADING=89.976, NAV_PITCH=0.036, NAV_ROLL=-0.000, NAV_SPEED=0.024, NAV_VX=0.024, NAV_VY=-0.000, NAV_X=-4.716, NAV_Y=-5.007, NAV_YAW=-1.570, NAV_Z=-70.461}
26.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.557, NAV_HEADING=89.962, NAV_PITCH=0.035, NAV_ROLL=-0.000, NAV_SPEED=0.025, NAV_VX=0.025, NAV_VY=-0.000, NAV_X=-4.664, NAV_Y=-5.008, NAV_YAW=-1.570, NAV_Z=-70.557}
28.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.657, NAV_HEADING=89.963, NAV_PITCH=0.036, NAV_ROLL=0.000, NAV_SPEED=0.027, NAV_VX=0.027, NAV_VY=-0.000, NAV_X=-4.608, NAV_Y=-5.008, NAV_YAW=-1.570, NAV_Z=-70.657}
30.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.759, NAV_HEADING=89.974, NAV_PITCH=0.036, NAV_ROLL=0.000, NAV_SPEED=0.029, NAV_VX=0.028, NAV_VY=-0.000, NAV_X=-4.548, NAV_Y=-5.009, NAV_YAW=-1.570, NAV_Z=-70.759}
32.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.863, NAV_HEADING=89.965, NAV_PITCH=0.036, NAV_ROLL=-0.000, NAV_SPEED=0.030, NAV_VX=0.030, NAV_VY=-0.000, NAV_X=-4.486, NAV_Y=-5.010, NAV_YAW=-1.570, NAV_Z=-70.863}
34.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=70.969, NAV_HEADING=89.972, NAV_PITCH=0.036, NAV_ROLL=0.000, NAV_SPEED=0.031, NAV_VX=0.031, NAV_VY=-0.000, NAV_X=-4.421, NAV_Y=-5.010, NAV_YAW=-1.570, NAV_Z=-70.969}
36.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=71.076, NAV_HEADING=89.969, NAV_PITCH=0.036, NAV_ROLL=-0.000, NAV_SPEED=0.033, NAV_VX=0.033, NAV_VY=-0.000, NAV_X=-4.353, NAV_Y=-5.011, NAV_YAW=-1.570, NAV_Z=-71.076}
38.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=71.184, NAV_HEADING=89.970, NAV_PITCH=0.036, NAV_ROLL=0.000, NAV_SPEED=0.034, NAV_VX=0.034, NAV_VY=-0.000, NAV_X=-4.282, NAV_Y=-5.012, NAV_YAW=-1.570, NAV_Z=-71.184}
40.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=71.292, NAV_HEADING=89.966, NAV_PITCH=0.036, NAV_ROLL=0.000, NAV_SPEED=0.035, NAV_VX=0.035, NAV_VY=-0.000, NAV_X=-4.209, NAV_Y=-5.012, NAV_YAW=-1.570, NAV_Z=-71.292}
42.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=71.401, NAV_HEADING=89.968, NAV_PITCH=0.035, NAV_ROLL=-0.000, NAV_SPEED=0.036, NAV_VX=0.036, NAV_VY=-0.000, NAV_X=-4.134, NAV_Y=-5.013, NAV_YAW=-1.570, NAV_Z=-71.401}
